Id,FileName,Title,Camera,Lens,ExposureTime,AperturValue,ExposureProgram,Iso,DateTaken,FocalLength,Orientation,Height,Width,UseInMontage,CountryId,CategoryId,PaletteId
409,IMG_9949 (1).jpg,,Canon EOS 40D,,1/1000 sec,f/5.6,Aperture priority,800,2008-04-06 15:58:13,340 mm,0,1008,1512,True,,,
410,IMG_9967.jpg,,Canon EOS 40D,,1/400 sec,f/6.3,Aperture priority,400,2011-04-09 10:30:39,340 mm,0,1008,1512,True,,,
411,IMG_9974.jpg,,Canon EOS 40D,,1/1000 sec,f/6.3,Aperture priority,400,2011-04-09 11:51:51,340 mm,1,1512,1008,True,,,
412,IMG_9990 (2).jpg,,Canon EOS 40D,,1/640 sec,f/9.0,Aperture priority,200,2011-04-09 13:43:14,350 mm,0,1008,1512,True,,,
413,IMG_9990.jpg,,Canon EOS 40D,,1/125 sec,f/8.0,Aperture priority,100,2011-07-24 11:42:46,350 mm,0,1008,1512,True,,,
414,IMG_51272.jpg,,Canon EOS 6D,EF70-300mm f/4.5-5.6 DO IS USM,1/400 sec,f/8.0,Aperture priority,100,2017-09-27 12:17:04,250 mm,0,1000,1500,True,,,
415,IMG_92452.jpg,,Canon EOS 40D,,1/320 sec,f/8.0,Aperture priority,200,2007-09-30 10:14:14,400 mm,2,1008,1008,True,,,
416,IMG_94222 (1).jpg,,Canon EOS 40D,,1/500 sec,f/5.6,Aperture priority,800,2008-04-05 11:57:48,370 mm,1,1512,1008,True,,,
417,KAL_01.jpg,,Canon EOS 10D,,0.04 sec,f/5.6,Aperture priority,200,2005-10-08 16:12:24,235 mm,0,2048,3072,True,,,
418,KAL_09.jpg,,Canon EOS 10D,,0.02 sec,f/13.0,Aperture priority,100,2005-10-27 13:24:28,40 mm,0,2096,2985,True,,,
419,KAL_12.jpg,,Canon EOS 10D,,0.05 sec,f/22.0,Aperture priority,100,2005-10-27 13:25:06,20 mm,0,2096,2985,True,,,
420,KAL_15_2.jpg,,Canon EOS 10D,,1/40 sec,f/22.0,Aperture priority,100,2005-10-27 12:33:40,17 mm,0,1000,1500,True,,,
